breweries_name,name,abv,breweries_established,breweries_id,breweries_locations_10_createDate,breweries_locations_10_id,breweries_locations_10_latitude,breweries_locations_10_locality,breweries_locations_10_locationType,breweries_locations_10_longitude,breweries_locations_10_name,breweries_locations_10_postal,breweries_locations_10_region,breweries_locations_10_streetAddress,breweries_locations_11_createDate,breweries_locations_11_id,breweries_locations_11_latitude,breweries_locations_11_locality,breweries_locations_11_locationType,breweries_locations_11_longitude,breweries_locations_11_name,breweries_locations_11_postal,breweries_locations_11_region,breweries_locations_11_streetAddress,breweries_locations_12_createDate,breweries_locations_12_id,breweries_locations_12_latitude,breweries_locations_12_locality,breweries_locations_12_locationType,breweries_locations_12_longitude,breweries_locations_12_name,breweries_locations_12_postal,breweries_locations_12_region,breweries_locations_12_streetAddress,breweries_locations_1_createDate,breweries_locations_1_id,breweries_locations_1_latitude,breweries_locations_1_locality,breweries_locations_1_locationType,breweries_locations_1_longitude,breweries_locations_1_name,breweries_locations_1_postal,breweries_locations_1_region,breweries_locations_1_streetAddress,breweries_locations_2_createDate,breweries_locations_2_id,breweries_locations_2_latitude,breweries_locations_2_locality,breweries_locations_2_locationType,breweries_locations_2_longitude,breweries_locations_2_name,breweries_locations_2_postal,breweries_locations_2_region,breweries_locations_2_streetAddress,breweries_locations_3_createDate,breweries_locations_3_id,breweries_locations_3_latitude,breweries_locations_3_locality,breweries_locations_3_locationType,breweries_locations_3_longitude,breweries_locations_3_name,breweries_locations_3_postal,breweries_locations_3_region,breweries_locations_3_streetAddress,breweries_locations_4_createDate,breweries_locations_4_id,breweries_locations_4_latitude,breweries_locations_4_locality,breweries_locations_4_locationType,breweries_locations_4_longitude,breweries_locations_4_name,breweries_locations_4_postal,breweries_locations_4_region,breweries_locations_4_streetAddress,breweries_locations_5_createDate,breweries_locations_5_id,breweries_locations_5_latitude,breweries_locations_5_locality,breweries_locations_5_locationType,breweries_locations_5_longitude,breweries_locations_5_name,breweries_locations_5_postal,breweries_locations_5_region,breweries_locations_5_streetAddress,breweries_locations_6_createDate,breweries_locations_6_id,breweries_locations_6_latitude,breweries_locations_6_locality,breweries_locations_6_locationType,breweries_locations_6_longitude,breweries_locations_6_name,breweries_locations_6_postal,breweries_locations_6_region,breweries_locations_6_streetAddress,breweries_locations_7_createDate,breweries_locations_7_id,breweries_locations_7_latitude,breweries_locations_7_locality,breweries_locations_7_locationType,breweries_locations_7_longitude,breweries_locations_7_name,breweries_locations_7_postal,breweries_locations_7_region,breweries_locations_7_streetAddress,breweries_locations_8_createDate,breweries_locations_8_id,breweries_locations_8_latitude,breweries_locations_8_locality,breweries_locations_8_locationType,breweries_locations_8_longitude,breweries_locations_8_name,breweries_locations_8_postal,breweries_locations_8_region,breweries_locations_8_streetAddress,breweries_locations_9_createDate,breweries_locations_9_id,breweries_locations_9_latitude,breweries_locations_9_locality,breweries_locations_9_locationType,breweries_locations_9_longitude,breweries_locations_9_name,breweries_locations_9_postal,breweries_locations_9_region,breweries_locations_9_streetAddress,createDate,id,isOrganic,isRetired,status,style_abvMax,style_abvMin,style_category_id,style_category_name,style_fgMax,style_fgMin,style_ibuMax,style_ibuMin,style_id,style_name,style_ogMin,style_shortName,style_srmMax,style_srmMin
Zero Gravity Craft Brewery,Bretthead,6.1,2004,VEY3Xa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:13,dMbTUT,44.4596386,Burlington,brewpub,-73.2137346,Main Brewery,05401,Vermont,716 Pine St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-06 18:14:18,RcyKuX,N,N,verified,7.5,6.3,3.0,North American Origin Ales,1.018,1.012,70,50,30.0,American-Style India Pale Ale,1.06,American IPA,14,6
Breckenridge Brewery,Brewery Lane Series: Biére De Garde,9,1990,IImUD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:41:48,s0WsY3,39.7236683,Denver,production,-105.0006015,Global Headquarters & Tasting Room,80204,Colorado,471 Kalamath Street,2014-03-17 10:34:20,4nwOub,39.4761913,Breckenridge,brewpub,-106.0438304,Breckenridge Brewery & Pub,80424,Colorado,600 South Main Street,2014-03-17 10:35:02,h7fD42,39.7562717,Denver,restaurant,-104.9912319,Breck on Blake,80205,Colorado,2220 Blake Street,2014-03-17 10:35:57,JRO1DT,39.0907673,Grand Junction,restaurant,-108.5527476,"The Ale House, Grand Junction",81501,Colorado,2531 North 12th Street,2014-03-17 10:36:30,vl6pMu,39.7586246,Denver,restaurant,-105.0091788,"The Ale House at Amato's,  Denver",80211,Colorado,2501 16th St,2014-09-10 15:03:39,EOsuuz,39.59331,Littleton,production,-105.024306,Breckenridge Brewery & Farmhouse,80120,Colorado,6775 S. Santa Fe,2015-06-17 03:32:00,kDDWiR,39.594287,Littleton,micro,-105.0246389,Main Brewery,80120,Colorado,2990 Brewery Lane,,,,,,,,,,,,,,,,,,,,,2018-10-11 13:02:16,bMv56j,N,N,verified,8,4.5,5.0,Belgian And French Origin Ales,1.024,1.012,30,20,71.0,French-Style Bière de Garde,1.06,Bière de Garde,16,8
Sierra Nevada Brewing Company,Broken Vow,,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-15 23:50:47,9slIEB,N,N,verified,9.5,5.5,3.0,North American Origin Ales,1.03,1.02,50,35,158.0,American-Style Imperial Porter,1.08,American Imperial Porter,40,40
SweetWater Brewing Company,Brown Eyed Buckeye,8.6,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:55,CRw8Gu,N,N,verified,7.5,6.3,3.0,North American Origin Ales,1.018,1.012,70,50,30.0,American-Style India Pale Ale,1.06,American IPA,14,6
Lagunitas Brewing Company,Brown Shugga',9.9,1993,nLsoQ9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:00,C0zPjd,38.272435,Petaluma,micro,-122.662346,Main Brewery,94954,California,1280 North McDowell Boulevard,2014-08-25 12:10:03,g2d9B7,41.8579099,Chicago,tasting,-87.691899,Chicago,60608,Illinois,2607 West 17th St.,2017-06-08 20:31:56,s38mA2,32.7784426,Charleston,tasting,-79.927534,Charleston Taproom & Beer Sanctuary,29401,South Carolina,161 E Bay St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:55,TpiDMC,N,N,verified,6.3,5.5,3.0,North American Origin Ales,1.016,1.008,50,40,29.0,American-Style Strong Pale Ale,1.05,American Strong Pale,14,6
Harmon Brewing Company,Brown's Point ESB,5.6,,DMU2Kf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:41:57,vd0Jcg,47.2438476,Tacoma,micro,-122.4365583,Main Brewery,98402,Washington,1938 Pacific Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:55,d2nhC0,N,N,verified,5.8,4.8,1.0,British Origin Ales,1.016,1.01,45,30,5.0,Extra Special Bitter,1.046,ESB,14,8
Sierra Nevada Brewing Company,Brux,8.3,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-15 13:13:56,GwYXdk,N,N,verified,25,2.5,11.0,Hybrid/mixed Beer,1.03,1.006,100,,125.0,Specialty Beer,1.03,Specialty,100,1
Dock Street Brewery,Bubbly Wit,7.1,1985,p3YrOa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:41:52,HFQ27P,39.9477956,West Philly,micro,-75.2229305,Main Brewery,19143,Pennsylvania,701 S. 50th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:55,P3fflp,N,N,verified,7.8,6,5.0,Belgian And French Origin Ales,1.014,1.008,30,15,61.0,Belgian-Style Blonde Ale,1.054,Belgian Blonde,7,4
Anheuser-Busch InBev,Bud Dry,5,1852,BznahA,2013-07-13 23:08:31,aMIEke,42.8252547,Merrimack,production,-71.4861091,Merrimack,03054,New Hampshire,221 Daniel Webster Hwy,2013-07-13 23:09:14,Cg12u5,40.7067437,Newark,production,-74.1736086,Newark,07114,New Jersey,200 US Highway 1,2013-07-13 23:09:54,ozjr3W,37.2381215,Williamsburg,production,-76.652522,Williamsburg,23185,Virginia,7801 Pocahontas Trail,2012-01-03 02:41:44,ZApGug,38.5985037,Saint Louis,macro,-90.2093428,Main Brewery,63118,Missouri,One Busch Place,2013-07-13 23:02:01,doVlXA,40.6169416,Fort Collins,production,-105.0018273,Fort Collins,80524,Colorado,2351 Busch Dr,2013-07-13 23:02:44,G8EZgb,34.2210112,Van Nuys,production,-118.4768522,Los Angeles,91406,California,15800 Roscoe Blvd,2013-07-13 23:03:49,sRxNq2,43.1624453,Baldwinsville,production,-76.3096615,Baldwinsville,13027,New York,2885 Belgium Rd,2013-07-13 23:04:45,UlgBzT,34.2558728,Cartersville,production,-84.7831874,Cartersville,30121,Georgia,100 Busch Dr NE,2013-07-13 23:05:39,75P08u,40.102482,Columbus,production,-82.9933123,Columbus,43229,Ohio,700 Schrock Rd,2013-07-13 23:06:25,jP7oIL,38.236362,Fairfield,production,-122.091866,Fairfield,94534,California,3101 Busch Dr,2013-07-13 23:07:07,LiqcRm,29.773088,Houston,production,-95.269255,Houston,77029,Texas,775 Gellhorn Dr,2013-07-13 23:07:42,y2ZQbD,30.433924,Jacksonville,production,-81.650619,Jacksonville,32218,Florida,111 Busch Dr,2012-01-03 02:42:55,8MMa77,N,N,verified,4.4,3.5,8.0,North American Lager,1.008,1.002,10,5,94.0,American-Style Light (Low Calorie) Lager,1.024,American Light Lager,4,2
Anheuser-Busch InBev,Bud Extra,6.6,1852,BznahA,2013-07-13 23:08:31,aMIEke,42.8252547,Merrimack,production,-71.4861091,Merrimack,03054,New Hampshire,221 Daniel Webster Hwy,2013-07-13 23:09:14,Cg12u5,40.7067437,Newark,production,-74.1736086,Newark,07114,New Jersey,200 US Highway 1,2013-07-13 23:09:54,ozjr3W,37.2381215,Williamsburg,production,-76.652522,Williamsburg,23185,Virginia,7801 Pocahontas Trail,2012-01-03 02:41:44,ZApGug,38.5985037,Saint Louis,macro,-90.2093428,Main Brewery,63118,Missouri,One Busch Place,2013-07-13 23:02:01,doVlXA,40.6169416,Fort Collins,production,-105.0018273,Fort Collins,80524,Colorado,2351 Busch Dr,2013-07-13 23:02:44,G8EZgb,34.2210112,Van Nuys,production,-118.4768522,Los Angeles,91406,California,15800 Roscoe Blvd,2013-07-13 23:03:49,sRxNq2,43.1624453,Baldwinsville,production,-76.3096615,Baldwinsville,13027,New York,2885 Belgium Rd,2013-07-13 23:04:45,UlgBzT,34.2558728,Cartersville,production,-84.7831874,Cartersville,30121,Georgia,100 Busch Dr NE,2013-07-13 23:05:39,75P08u,40.102482,Columbus,production,-82.9933123,Columbus,43229,Ohio,700 Schrock Rd,2013-07-13 23:06:25,jP7oIL,38.236362,Fairfield,production,-122.091866,Fairfield,94534,California,3101 Busch Dr,2013-07-13 23:07:07,LiqcRm,29.773088,Houston,production,-95.269255,Houston,77029,Texas,775 Gellhorn Dr,2013-07-13 23:07:42,y2ZQbD,30.433924,Jacksonville,production,-81.650619,Jacksonville,32218,Florida,111 Busch Dr,2012-01-03 02:42:55,W2dlxg,N,N,verified,12,2.5,11.0,Hybrid/mixed Beer,1.03,1.006,70,5,124.0,Herb and Spice Beer,1.03,Spice Beer,50,5
