breweries_name,name,abv,breweries_established,breweries_id,breweries_locations_10_createDate,breweries_locations_10_id,breweries_locations_10_latitude,breweries_locations_10_locality,breweries_locations_10_locationType,breweries_locations_10_longitude,breweries_locations_10_name,breweries_locations_10_postal,breweries_locations_10_region,breweries_locations_10_streetAddress,breweries_locations_11_createDate,breweries_locations_11_id,breweries_locations_11_latitude,breweries_locations_11_locality,breweries_locations_11_locationType,breweries_locations_11_longitude,breweries_locations_11_name,breweries_locations_11_postal,breweries_locations_11_region,breweries_locations_11_streetAddress,breweries_locations_12_createDate,breweries_locations_12_id,breweries_locations_12_latitude,breweries_locations_12_locality,breweries_locations_12_locationType,breweries_locations_12_longitude,breweries_locations_12_name,breweries_locations_12_postal,breweries_locations_12_region,breweries_locations_12_streetAddress,breweries_locations_1_createDate,breweries_locations_1_id,breweries_locations_1_latitude,breweries_locations_1_locality,breweries_locations_1_locationType,breweries_locations_1_longitude,breweries_locations_1_name,breweries_locations_1_postal,breweries_locations_1_region,breweries_locations_1_streetAddress,breweries_locations_2_createDate,breweries_locations_2_id,breweries_locations_2_latitude,breweries_locations_2_locality,breweries_locations_2_locationType,breweries_locations_2_longitude,breweries_locations_2_name,breweries_locations_2_postal,breweries_locations_2_region,breweries_locations_2_streetAddress,breweries_locations_3_createDate,breweries_locations_3_id,breweries_locations_3_latitude,breweries_locations_3_locality,breweries_locations_3_locationType,breweries_locations_3_longitude,breweries_locations_3_name,breweries_locations_3_postal,breweries_locations_3_region,breweries_locations_3_streetAddress,breweries_locations_4_createDate,breweries_locations_4_id,breweries_locations_4_latitude,breweries_locations_4_locality,breweries_locations_4_locationType,breweries_locations_4_longitude,breweries_locations_4_name,breweries_locations_4_postal,breweries_locations_4_region,breweries_locations_4_streetAddress,breweries_locations_5_createDate,breweries_locations_5_id,breweries_locations_5_latitude,breweries_locations_5_locality,breweries_locations_5_locationType,breweries_locations_5_longitude,breweries_locations_5_name,breweries_locations_5_postal,breweries_locations_5_region,breweries_locations_5_streetAddress,breweries_locations_6_createDate,breweries_locations_6_id,breweries_locations_6_latitude,breweries_locations_6_locality,breweries_locations_6_locationType,breweries_locations_6_longitude,breweries_locations_6_name,breweries_locations_6_postal,breweries_locations_6_region,breweries_locations_6_streetAddress,breweries_locations_7_createDate,breweries_locations_7_id,breweries_locations_7_latitude,breweries_locations_7_locality,breweries_locations_7_locationType,breweries_locations_7_longitude,breweries_locations_7_name,breweries_locations_7_postal,breweries_locations_7_region,breweries_locations_7_streetAddress,breweries_locations_8_createDate,breweries_locations_8_id,breweries_locations_8_latitude,breweries_locations_8_locality,breweries_locations_8_locationType,breweries_locations_8_longitude,breweries_locations_8_name,breweries_locations_8_postal,breweries_locations_8_region,breweries_locations_8_streetAddress,breweries_locations_9_createDate,breweries_locations_9_id,breweries_locations_9_latitude,breweries_locations_9_locality,breweries_locations_9_locationType,breweries_locations_9_longitude,breweries_locations_9_name,breweries_locations_9_postal,breweries_locations_9_region,breweries_locations_9_streetAddress,createDate,id,isOrganic,isRetired,status,style_abvMax,style_abvMin,style_category_id,style_category_name,style_fgMax,style_fgMin,style_ibuMax,style_ibuMin,style_id,style_name,style_ogMin,style_shortName,style_srmMax,style_srmMin
Sierra Nevada Brewing Company,'Murican Pilsner,5.5,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-19 11:58:12,c4f2KE,N,N,verified,6,5,8.0,North American Lager,1.018,1.012,40,25,98.0,American-Style Pilsener,1.045,American Pilsener,6,3
Sierra Nevada Brewing Company,11.5° PLATO,4.5,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-09 14:44:42,zTTWa2,N,N,verified,,,3.0,North American Origin Ales,,,,,164.0,Session India Pale Ale,,Session IPA,,
Lagunitas Brewing Company,12th Of Never,5.5,1993,nLsoQ9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:00,C0zPjd,38.272435,Petaluma,micro,-122.662346,Main Brewery,94954,California,1280 North McDowell Boulevard,2014-08-25 12:10:03,g2d9B7,41.8579099,Chicago,tasting,-87.691899,Chicago,60608,Illinois,2607 West 17th St.,2017-06-08 20:31:56,s38mA2,32.7784426,Charleston,tasting,-79.927534,Charleston Taproom & Beer Sanctuary,29401,South Carolina,161 E Bay St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-03 23:25:54,zfP2fK,N,N,verified,5.6,4.5,3.0,North American Origin Ales,1.014,1.008,42,30,25.0,American-Style Pale Ale,1.044,American Pale,14,6
SweetWater Brewing Company,15th Anniversary Ale,,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-16 15:44:15,xwYSL2,N,N,verified,5.8,4.8,1.0,British Origin Ales,1.016,1.01,45,30,5.0,Extra Special Bitter,1.046,ESB,14,8
SweetWater Brewing Company,16 So Fine Red Wheat Wine,11,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-24 16:31:05,UJGpVS,N,N,verified,12,8.4,3.0,North American Origin Ales,1.032,1.024,85,45,35.0,American-Style Wheat Wine Ale,1.088,Wheatwine,15,8
Wachusett Brewing Company,1794 The Fergal Project,4.5,1994,DifSi4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:12,NbGMT2,42.5584168,Westminster,brewpub,-71.8707812,Main Brewery,01473,Massachusetts,175 State Road East,2018-08-09 19:53:11,sQW1Zu,42.5584727,WESTMINSTER,brewpub,-71.8706864,Wachusett Brew Yard,01473-1208,MA,175 State Rd E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-29 16:55:00,vz5JZ1,N,N,verified,8.8,5.7,3.0,North American Origin Ales,1.022,1.01,60,35,42.0,American-Style Stout,1.05,American Stout,40,40
SweetWater Brewing Company,17th Saison,9,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-16 15:43:03,LcpeBb,N,N,verified,8.5,4.5,5.0,Belgian And French Origin Ales,1.016,1.004,40,20,72.0,French & Belgian-Style Saison,1.055,Saison,14,4
SweetWater Brewing Company,18th Anniversary Belgian Tripel,10,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-15 20:02:48,Yd8G8r,N,N,verified,10,7,5.0,Belgian And French Origin Ales,1.018,1.01,45,20,59.0,Belgian-Style Tripel,1.07,Belgian Tripel,9,4
SweetWater Brewing Company,19 - Golden Belgian Style Ale,7,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-06 14:34:39,iJ329Y,N,N,verified,,,11.0,Hybrid/mixed Beer,,,,,135.0,Wood- and Barrel-Aged Strong Beer,,BBL Aged Strong,,
Anheuser-Busch InBev,1904 American Red Lager,5,1852,BznahA,2013-07-13 23:08:31,aMIEke,42.8252547,Merrimack,production,-71.4861091,Merrimack,03054,New Hampshire,221 Daniel Webster Hwy,2013-07-13 23:09:14,Cg12u5,40.7067437,Newark,production,-74.1736086,Newark,07114,New Jersey,200 US Highway 1,2013-07-13 23:09:54,ozjr3W,37.2381215,Williamsburg,production,-76.652522,Williamsburg,23185,Virginia,7801 Pocahontas Trail,2012-01-03 02:41:44,ZApGug,38.5985037,Saint Louis,macro,-90.2093428,Main Brewery,63118,Missouri,One Busch Place,2013-07-13 23:02:01,doVlXA,40.6169416,Fort Collins,production,-105.0018273,Fort Collins,80524,Colorado,2351 Busch Dr,2013-07-13 23:02:44,G8EZgb,34.2210112,Van Nuys,production,-118.4768522,Los Angeles,91406,California,15800 Roscoe Blvd,2013-07-13 23:03:49,sRxNq2,43.1624453,Baldwinsville,production,-76.3096615,Baldwinsville,13027,New York,2885 Belgium Rd,2013-07-13 23:04:45,UlgBzT,34.2558728,Cartersville,production,-84.7831874,Cartersville,30121,Georgia,100 Busch Dr NE,2013-07-13 23:05:39,75P08u,40.102482,Columbus,production,-82.9933123,Columbus,43229,Ohio,700 Schrock Rd,2013-07-13 23:06:25,jP7oIL,38.236362,Fairfield,production,-122.091866,Fairfield,94534,California,3101 Busch Dr,2013-07-13 23:07:07,LiqcRm,29.773088,Houston,production,-95.269255,Houston,77029,Texas,775 Gellhorn Dr,2013-07-13 23:07:42,y2ZQbD,30.433924,Jacksonville,production,-81.650619,Jacksonville,32218,Florida,111 Busch Dr,2017-06-19 14:11:51,O78ldO,N,N,verified,5,3.8,8.0,North American Lager,1.01,1.006,13,5,93.0,American-Style Lager,1.04,American Lager,4,2
Sierra Nevada Brewing Company,2 x 4,8.7,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:37,qGDeH1,N,N,verified,,,5.0,Belgian And French Origin Ales,,,,,70.0,Other Belgian-Style Ales,,Belgian Ale,,
Guinness,200th Anniversary Export Stout,6,1759,HaPdSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:41:56,9RsQkk,53.34309,Dublin City,macro,-6.290799,Main Brewery,8,Dublin,109 James's Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-11 16:56:19,MgdJep,N,N,verified,9.3,5.7,2.0,Irish Origin Ales,1.02,1.008,60,30,24.0,Foreign (Export)-Style Stout,1.052,Export Stout,40,40
Sierra Nevada Brewing Company,2017 Beer Camp,6.5,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-11 15:29:50,ISTT06,N,N,verified,7.5,6.3,3.0,North American Origin Ales,1.018,1.012,70,50,30.0,American-Style India Pale Ale,1.06,American IPA,14,6
SweetWater Brewing Company,20th Anniversary Imperial Hash IPA on Brett,9,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-18 19:42:40,v4KRep,N,N,verified,10.5,7.5,3.0,North American Origin Ales,1.02,1.012,100,65,31.0,Imperial or Double India Pale Ale,1.075,Imperial IPA,13,5
Sierra Nevada Brewing Company,20th Street Ale Citra,7.3,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-17 14:40:19,uIgENV,N,N,verified,,,,,,,,,,,,,,
Sierra Nevada Brewing Company,20th Street Ale Crystal,7.3,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-17 14:40:35,WcP2Ww,N,N,verified,,,,,,,,,,,,,,
Sierra Nevada Brewing Company,20th Street Ale Magnum,7.3,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-17 14:40:02,HyxQE4,N,N,verified,,,,,,,,,,,,,,
SweetWater Brewing Company,21st Anniversary,7.9,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-17 19:19:15,e9sjBk,N,N,verified,6.5,4.8,5.0,Belgian And French Origin Ales,1.016,1.008,25,15,57.0,Belgian-Style Flanders Oud Bruin or Oud Red Ales,1.044,Flanders Red,20,12
Breckenridge Brewery,25th Anniversary,9.8,1990,IImUD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:41:48,s0WsY3,39.7236683,Denver,production,-105.0006015,Global Headquarters & Tasting Room,80204,Colorado,471 Kalamath Street,2014-03-17 10:34:20,4nwOub,39.4761913,Breckenridge,brewpub,-106.0438304,Breckenridge Brewery & Pub,80424,Colorado,600 South Main Street,2014-03-17 10:35:02,h7fD42,39.7562717,Denver,restaurant,-104.9912319,Breck on Blake,80205,Colorado,2220 Blake Street,2014-03-17 10:35:57,JRO1DT,39.0907673,Grand Junction,restaurant,-108.5527476,"The Ale House, Grand Junction",81501,Colorado,2531 North 12th Street,2014-03-17 10:36:30,vl6pMu,39.7586246,Denver,restaurant,-105.0091788,"The Ale House at Amato's,  Denver",80211,Colorado,2501 16th St,2014-09-10 15:03:39,EOsuuz,39.59331,Littleton,production,-105.024306,Breckenridge Brewery & Farmhouse,80120,Colorado,6775 S. Santa Fe,2015-06-17 03:32:00,kDDWiR,39.594287,Littleton,micro,-105.0246389,Main Brewery,80120,Colorado,2990 Brewery Lane,,,,,,,,,,,,,,,,,,,,,2015-12-11 15:48:31,YZXVKq,N,N,verified,9.5,5.5,3.0,North American Origin Ales,1.03,1.02,50,35,158.0,American-Style Imperial Porter,1.08,American Imperial Porter,40,40
Sierra Nevada Brewing Company,3 Weight,4,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-23 21:47:32,7z8RTq,N,N,verified,,,3.0,North American Origin Ales,,,,,164.0,Session India Pale Ale,,Session IPA,,
Sierra Nevada Brewing Company,"30th Anniversary - Charlie, Fred & Ken's Bock",8.3,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-06-17 20:00:02,f5CWb6,N,Y,verified,8,6,7.0,European-germanic Lager,1.02,1.012,38,20,89.0,German-Style Heller Bock/Maibock,1.066,Maibock,10,4
Sierra Nevada Brewing Company,30th Anniversary - Fritz and Ken's Ale,9.2,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-04 22:15:20,0KEzfx,N,Y,verified,12,7,3.0,North American Origin Ales,1.03,1.02,80,50,43.0,American-Style Imperial Stout,1.08,American Imperial Stout,40,40
Sierra Nevada Brewing Company,30th Anniversary - Grand Cru,9.2,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-10 17:15:23,KjumXn,N,N,verified,,,11.0,Hybrid/mixed Beer,,,,,138.0,Other Strong Ale or Lager,,Strong Ale,,
Sierra Nevada Brewing Company,30th Anniversary - Jack & Ken's Ale,10.2,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-06-17 20:02:42,8M5lCq,N,Y,verified,12,8.4,3.0,North American Origin Ales,1.028,1.024,100,60,34.0,American-Style Barley Wine Ale,1.09,American Barleywine,22,11
Sierra Nevada Brewing Company,35th Anniversary  - Brewer's Reserve,8,1980,nHLlnK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:08,IaQrxj,39.7246028,Chico,micro,-121.8157154,Main Brewery,95928,California,1075 East 20th St,2012-03-29 20:56:05,aqLvLE,35.4303824,Fletcher,micro,-82.5489214,Asheville,28732,North Carolina,100 Sierra Nevada Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-10 14:23:57,ajbd6g,N,N,verified,11,7,1.0,British Origin Ales,1.04,1.014,65,30,14.0,Strong Ale,1.06,Strong Ale,21,8
SweetWater Brewing Company,420 Extra Pale Ale,5.4,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:44:20,NoNhan,N,N,verified,5.6,4.5,3.0,North American Origin Ales,1.014,1.008,42,30,25.0,American-Style Pale Ale,1.044,American Pale,14,6
SweetWater Brewing Company,420 Fest,8,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-01 22:38:11,pOUbfg,N,N,verified,10.5,7.5,3.0,North American Origin Ales,1.02,1.012,100,65,31.0,Imperial or Double India Pale Ale,1.075,Imperial IPA,13,5
SweetWater Brewing Company,420 Strain G13 IPA,6,1997,TMc6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:09,MfINpl,33.808102,Atlanta,micro,-84.38119,Main Brewery,30324,Georgia,195 Ottley Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-13 19:25:27,jIKwgZ,N,N,verified,7.5,6.3,3.0,North American Origin Ales,1.018,1.012,70,50,30.0,American-Style India Pale Ale,1.06,American IPA,14,6
Breckenridge Brewery,471 Double IPA - Hull Melon,9.2,1990,IImUD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:41:48,s0WsY3,39.7236683,Denver,production,-105.0006015,Global Headquarters & Tasting Room,80204,Colorado,471 Kalamath Street,2014-03-17 10:34:20,4nwOub,39.4761913,Breckenridge,brewpub,-106.0438304,Breckenridge Brewery & Pub,80424,Colorado,600 South Main Street,2014-03-17 10:35:02,h7fD42,39.7562717,Denver,restaurant,-104.9912319,Breck on Blake,80205,Colorado,2220 Blake Street,2014-03-17 10:35:57,JRO1DT,39.0907673,Grand Junction,restaurant,-108.5527476,"The Ale House, Grand Junction",81501,Colorado,2531 North 12th Street,2014-03-17 10:36:30,vl6pMu,39.7586246,Denver,restaurant,-105.0091788,"The Ale House at Amato's,  Denver",80211,Colorado,2501 16th St,2014-09-10 15:03:39,EOsuuz,39.59331,Littleton,production,-105.024306,Breckenridge Brewery & Farmhouse,80120,Colorado,6775 S. Santa Fe,2015-06-17 03:32:00,kDDWiR,39.594287,Littleton,micro,-105.0246389,Main Brewery,80120,Colorado,2990 Brewery Lane,,,,,,,,,,,,,,,,,,,,,2015-11-18 18:37:22,lWygSS,N,N,verified,10.5,7.5,3.0,North American Origin Ales,1.02,1.012,100,65,31.0,Imperial or Double India Pale Ale,1.075,Imperial IPA,13,5
Breckenridge Brewery,471 ESB - Extra Special Bitter,7.8,1990,IImUD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:41:48,s0WsY3,39.7236683,Denver,production,-105.0006015,Global Headquarters & Tasting Room,80204,Colorado,471 Kalamath Street,2014-03-17 10:34:20,4nwOub,39.4761913,Breckenridge,brewpub,-106.0438304,Breckenridge Brewery & Pub,80424,Colorado,600 South Main Street,2014-03-17 10:35:02,h7fD42,39.7562717,Denver,restaurant,-104.9912319,Breck on Blake,80205,Colorado,2220 Blake Street,2014-03-17 10:35:57,JRO1DT,39.0907673,Grand Junction,restaurant,-108.5527476,"The Ale House, Grand Junction",81501,Colorado,2531 North 12th Street,2014-03-17 10:36:30,vl6pMu,39.7586246,Denver,restaurant,-105.0091788,"The Ale House at Amato's,  Denver",80211,Colorado,2501 16th St,2014-09-10 15:03:39,EOsuuz,39.59331,Littleton,production,-105.024306,Breckenridge Brewery & Farmhouse,80120,Colorado,6775 S. Santa Fe,2015-06-17 03:32:00,kDDWiR,39.594287,Littleton,micro,-105.0246389,Main Brewery,80120,Colorado,2990 Brewery Lane,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:42:37,fa0oqf,N,Y,verified,5.8,4.8,1.0,British Origin Ales,1.016,1.01,45,30,5.0,Extra Special Bitter,1.046,ESB,14,8
Breckenridge Brewery,471 IPA Barrel Series: Citra,11.3,1990,IImUD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-03 02:41:48,s0WsY3,39.7236683,Denver,production,-105.0006015,Global Headquarters & Tasting Room,80204,Colorado,471 Kalamath Street,2014-03-17 10:34:20,4nwOub,39.4761913,Breckenridge,brewpub,-106.0438304,Breckenridge Brewery & Pub,80424,Colorado,600 South Main Street,2014-03-17 10:35:02,h7fD42,39.7562717,Denver,restaurant,-104.9912319,Breck on Blake,80205,Colorado,2220 Blake Street,2014-03-17 10:35:57,JRO1DT,39.0907673,Grand Junction,restaurant,-108.5527476,"The Ale House, Grand Junction",81501,Colorado,2531 North 12th Street,2014-03-17 10:36:30,vl6pMu,39.7586246,Denver,restaurant,-105.0091788,"The Ale House at Amato's,  Denver",80211,Colorado,2501 16th St,2014-09-10 15:03:39,EOsuuz,39.59331,Littleton,production,-105.024306,Breckenridge Brewery & Farmhouse,80120,Colorado,6775 S. Santa Fe,2015-06-17 03:32:00,kDDWiR,39.594287,Littleton,micro,-105.0246389,Main Brewery,80120,Colorado,2990 Brewery Lane,,,,,,,,,,,,,,,,,,,,,2017-04-19 13:37:27,HZMvCT,N,N,verified,10.5,7.5,3.0,North American Origin Ales,1.02,1.012,100,65,31.0,Imperial or Double India Pale Ale,1.075,Imperial IPA,13,5
